标题,级别,总分,类型,信源,谣言
Upbit上线MORPHO韩元交易对,C,0.617,market,"[""ChainCatcher"", ""吴说区块链""]",0
Lazarus清洗1.38亿美元Bybit被盗资金,A,0.615,security,"[""BinanceSquare""]",0
未知钱包向OKX转入4690枚BTC,B,0.613,market,"[""吴说区块链""]",0
TRUMP团队转出1083.7万枚代币,B,0.608,market,"[""X/EmberCN""]",0
共和党CLARITY草案遭民主党伦理抨击,A,0.608,policy,"[""Cointelegraph""]",0
某地址40倍做多603.71枚BTC,B,0.607,market,"[""吴说区块链""]",0
高盛CEO支持加密清晰法案,A,0.603,policy,"[""Decrypt""]",0
Uniswap代币罐上线11链,B,0.6,project,"[""BlockBeats文章""]",1
PlanB反对比特币BIP-110提案,C,0.598,project,"[""Followin快讯"", ""吴说区块链""]",0
智保拟售2.2亿美元股票建比特币储备,A,0.597,market,"[""Decrypt""]",0
巴西检方起诉World ID运营方索赔2.4亿雷亚尔,B,0.597,policy,"[""吴说区块链""]",0
eToro投资Extended并计划接入Zengo,C,0.596,project,"[""TheDefiant""]",0
ETH跌破1775美元或引发5.52亿美元多单清算,C,0.596,market,"[""ChainCatcher""]",0
SummerFi因攻击将结束运营,C,0.594,security,"[""TheDefiant""]",0
SUN完成第51期回购销毁,C,0.594,project,"[""TechFlow深潮""]",0
币安将上线AERO并加种子标签,A,0.594,project,"[""币安上币公告""]",0
24小时全网爆仓1.91亿美元,C,0.593,market,"[""Followin快讯""]",0
加密业支持参院CLARITY法案草案,A,0.593,policy,"[""TheDefiant""]",0
美国Clarity法案或推迟至夏休后,A,0.592,policy,"[""CoinDesk""]",0
Jupiter质押JUP超10亿枚,C,0.592,project,"[""金色财经""]",0
Wise或在GENIUS法案后重提交牌照申请,C,0.592,policy,"[""Cointelegraph""]",0
BitMart平台币BMX盘中暴跌超60%,B,0.591,market,"[""X/BlockBeatsAsia""]",0
Worldcoin折价36%售出2.174亿枚WLD,B,0.591,project,"[""X/PANewsCN""]",1
Lookonchain监测TRUMP转出1084万枚,B,0.591,market,"[""X/lookonchain""]",1
Coinbase比特币负溢价连67天,C,0.59,market,"[""BlockBeats快讯""]",0
World基金会链上售WLD筹资5250万美元,B,0.59,project,"[""X/lookonchain""]",1
Coinbase将于7月28日暂停ACX交易,C,0.589,project,"[""PANews""]",0
Stacks升级投票获99%支持,B,0.586,project,"[""TheDefiant""]",0
Robinhood Chain代币化RWA两周达7000万美元,C,0.585,project,"[""ChainCatcher""]",0
Polygon Ithaca硬分叉7月29日上线,C,0.585,project,"[""PANews""]",0
James Wynn仍持85.76万美元标普空单,B,0.585,market,"[""TechFlow深潮""]",0
Wise拟按GENIUS法案重报信托银行申请,B,0.583,policy,"[""TheBlock""]",0
巨鲸质押278.5万枚HYPE,B,0.582,market,"[""TechFlow深潮""]",1
币安Launchpool上线Pixels,B,0.581,project,"[""BinanceSquare""]",0
预测市场押注ETH 2026站上3000美元概率偏低,C,0.578,market,"[""Followin-EN""]",0
币安合约将上线POPMARTUSDT永续,B,0.578,market,"[""币安上币公告""]",0
BTC在61147与66823美元现清算密集区,C,0.576,market,"[""Followin快讯""]",0
朝鲜黑客团伙涉银行窃资与加密洗钱,C,0.571,security,"[""ChainCatcher""]",0
KOL称BMX暴跌后BitMart提现疑异常,B,0.57,security,"[""ChainCatcher""]",1
神秘巨鲸做空CXMT达918万美元,B,0.57,market,"[""X/lookonchain""]",0
昔日最大比特币矿池Poolin申请破产,B,0.569,project,"[""CoinDesk"", ""TechFlow深潮""]",0
Bitdeer6月产出990枚BTC创新高,C,0.568,project,"[""Followin快讯""]",0
币安钱包新增Spark借贷与Robinhood链支持,C,0.568,project,"[""X/binancezh""]",0
Robinhood Chain日费收35万美元排第四,C,0.568,project,"[""TechFlow深潮""]",0
吴说周报：WLD折价出售等动态,C,0.567,project,"[""X/WuBlockchain""]",0
沉寂比特币唤醒量降至近四年低点,C,0.567,market,"[""吴说区块链""]",0
PlanB反对比特币BIP-110提案,C,0.565,project,"[""BlockBeats快讯""]",0
朝鲜逮捕涉加密洗钱黑客,C,0.564,security,"[""CoinDesk""]",0
Galaxy：Q2沉寂比特币苏醒量新低,C,0.562,market,"[""ChainCatcher""]",0
EDX Markets获7600万美元C轮融资,D,0.56,project,"[""TheDefiant""]",0
Four.meme遭黑客操纵流动性,B,0.559,security,"[""BinanceSquare""]",0
比特币矿企Ionic Digital将于7月28日登陆纳斯达克,C,0.557,market,"[""PANews""]",0
Hyperliquid上RWA交易量首超加密,B,0.555,project,"[""Decrypt""]",0
9家机构成立比特币安全联盟,C,0.555,project,"[""Followin快讯""]",0
